trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
143,False,"{'a': 0.5, 'e': 0.9888085373600153}",30,0,-73.16596445431156,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
144,False,"{'a': 0.5, 'e': 0.9886517638724863}",20,0,-69.95703522080515,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
145,False,"{'a': 0.5, 'e': 0.9884939062089102}",20,0,-158.9549192376436,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
146,False,"{'a': 0.5, 'e': 0.988334964542397}",30,0,-87.5505900258665,"{0: 19, 1: 1, 2: 10, 3: 0, 4: 0}",0
147,False,"{'a': 0.5, 'e': 0.9881749390472453}",20,7,-62.21277675118883,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 1}",1
148,False,"{'a': 0.5, 'e': 0.9880138298989425}",30,0,-117.69425342660234,"{0: 18, 1: 5, 2: 5, 3: 1, 4: 1}",0
149,False,"{'a': 0.5, 'e': 0.9878516372741641}",25,0,-168.99944190192576,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
150,False,"{'a': 0.5, 'e': 0.987688361350774}",20,0,-154.2894886354446,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
151,False,"{'a': 0.5, 'e': 0.987524002307824}",35,0,-167.97130938280054,"{0: 21, 1: 5, 2: 5, 3: 2, 4: 2}",0
152,False,"{'a': 0.5, 'e': 0.9873585603255536}",25,0,-110.6386752320525,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
153,False,"{'a': 0.5, 'e': 0.9871920355853898}",20,0,-136.0569483795598,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
154,False,"{'a': 0.5, 'e': 0.9870244282699473}",20,0,-146.3395885306236,"{0: 8, 1: 4, 2: 6, 3: 0, 4: 2}",0
155,False,"{'a': 0.5, 'e': 0.9868557385630276}",30,0,-176.83193439898406,"{0: 14, 1: 6, 2: 8, 3: 0, 4: 2}",0
156,False,"{'a': 0.5, 'e': 0.9866859666496194}",25,15,15.024224808331713,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.9865151127158981}",20,0,-132.99997235346763,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
158,False,"{'a': 0.5, 'e': 0.9863431769492256}",20,0,-77.82300153056622,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
159,False,"{'a': 0.5, 'e': 0.9861701595381503}",20,0,-106.03893223722014,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
160,False,"{'a': 0.5, 'e': 0.9859960606724067}",20,0,-120.25704329884255,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
161,False,"{'a': 0.5, 'e': 0.9858208805429153}",20,0,-149.1076042298332,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
162,False,"{'a': 0.5, 'e': 0.985644619341782}",25,0,-77.3036754896482,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
163,False,"{'a': 0.5, 'e': 0.9854672772622988}",25,0,-166.82278725868892,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 4}",0
164,False,"{'a': 0.5, 'e': 0.9852888544989424}",20,0,-130.31286110394691,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
165,False,"{'a': 0.5, 'e': 0.9851093512473752}",20,6,-59.37258585055459,"{0: 7, 1: 2, 2: 4, 3: 1, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.984928767704444}",20,0,-36.66250546112351,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
167,False,"{'a': 0.5, 'e': 0.9847471040681807}",20,0,-134.60980007198316,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
